agent_id,age_group,work_status,medical_need_level,day_of_week,is_weekend,activity_id,activity_sequence,sequence_order,activity_purpose,home_zone,destination_zone,planned_start_datetime,planned_end_datetime,is_mandatory,baseline_cancel_probability
9,18-39,regular_worker,,Saturday,True,activity-9-2026-07-11-008,8,1,shopping,Z7,Z7,2026-07-11 12:00:00,2026-07-11 13:00:00,False,0.15
9,18-39,regular_worker,,Saturday,True,activity-9-2026-07-11-009,9,2,shopping,Z7,Z7,2026-07-11 14:30:00,2026-07-11 16:30:00,False,0.15
9,18-39,regular_worker,,Saturday,True,activity-9-2026-07-11-010,10,3,out_of_home_family_activity,Z7,Z7,2026-07-11 20:00:00,2026-07-11 22:00:00,False,0.12
10,18-39,regular_worker,,Tuesday,False,activity-10-2026-07-07-003,3,1,work,Z5,Z3,2026-07-07 10:00:00,2026-07-07 20:00:00,True,0.03
10,18-39,regular_worker,,Tuesday,False,activity-10-2026-07-07-004,4,2,social_leisure,Z5,Z5,2026-07-07 21:30:00,2026-07-07 22:30:00,False,0.24
10,18-39,regular_worker,,Saturday,True,activity-10-2026-07-11-009,9,1,medical,Z5,Z5,2026-07-11 12:00:00,2026-07-11 16:00:00,True,0.01
11,18-39,regular_worker,,Tuesday,False,activity-11-2026-07-07-004,4,1,work,Z5,Z7,2026-07-07 09:00:00,2026-07-07 17:00:00,True,0.03
11,18-39,regular_worker,,Saturday,True,activity-11-2026-07-11-008,8,1,social_leisure,Z5,Z5,2026-07-11 10:30:00,2026-07-11 12:30:00,False,0.24
11,18-39,regular_worker,,Saturday,True,activity-11-2026-07-11-009,9,2,shopping,Z5,Z5,2026-07-11 14:00:00,2026-07-11 16:00:00,False,0.15
11,18-39,regular_worker,,Saturday,True,activity-11-2026-07-11-010,10,3,social_leisure,Z5,Z5,2026-07-11 19:30:00,2026-07-11 22:30:00,False,0.24
12,18-39,regular_worker,,Tuesday,False,activity-12-2026-07-07-002,2,1,work,Z5,Z7,2026-07-07 08:00:00,2026-07-07 17:00:00,True,0.03
12,18-39,regular_worker,,Saturday,True,activity-12-2026-07-11-007,7,1,social_leisure,Z5,Z5,2026-07-11 12:30:00,2026-07-11 14:30:00,False,0.24
12,18-39,regular_worker,,Saturday,True,activity-12-2026-07-11-008,8,2,shopping,Z5,Z7,2026-07-11 16:00:00,2026-07-11 17:00:00,False,0.15
13,18-39,regular_worker,,Tuesday,False,activity-13-2026-07-07-002,2,1,work,Z2,Z2,2026-07-07 08:30:00,2026-07-07 17:00:00,True,0.03
13,18-39,regular_worker,,Tuesday,False,activity-13-2026-07-07-003,3,2,shopping,Z2,Z2,2026-07-07 20:00:00,2026-07-07 21:00:00,False,0.15
13,18-39,regular_worker,,Saturday,True,activity-13-2026-07-11-009,9,1,social_leisure,Z2,Z2,2026-07-11 09:00:00,2026-07-11 11:00:00,False,0.24
13,18-39,regular_worker,,Saturday,True,activity-13-2026-07-11-010,10,2,out_of_home_family_activity,Z2,Z3,2026-07-11 14:00:00,2026-07-11 16:00:00,False,0.12
13,18-39,regular_worker,,Saturday,True,activity-13-2026-07-11-011,11,3,visit,Z2,Z3,2026-07-11 20:30:00,2026-07-11 22:30:00,False,0.16
14,18-39,regular_worker,,Tuesday,False,activity-14-2026-07-07-003,3,1,work,Z6,Z6,2026-07-07 10:00:00,2026-07-07 18:30:00,True,0.03
14,18-39,regular_worker,,Saturday,True,activity-14-2026-07-11-008,8,1,shopping,Z6,Z3,2026-07-11 15:30:00,2026-07-11 16:30:00,False,0.15
14,18-39,regular_worker,,Saturday,True,activity-14-2026-07-11-009,9,2,shopping,Z6,Z6,2026-07-11 18:00:00,2026-07-11 19:00:00,False,0.15
15,18-39,regular_worker,,Tuesday,False,activity-15-2026-07-07-002,2,1,work,Z7,Z1,2026-07-07 10:00:00,2026-07-07 18:30:00,True,0.03
15,18-39,regular_worker,,Saturday,True,activity-15-2026-07-11-008,8,1,social_leisure,Z7,Z5,2026-07-11 13:30:00,2026-07-11 15:30:00,False,0.24
16,18-39,regular_worker,,Tuesday,False,activity-16-2026-07-07-002,2,1,work,Z1,Z3,2026-07-07 09:30:00,2026-07-07 18:30:00,True,0.03
16,18-39,regular_worker,,Tuesday,False,activity-16-2026-07-07-003,3,2,visit,Z1,Z5,2026-07-07 20:00:00,2026-07-07 22:00:00,False,0.16
16,18-39,regular_worker,,Saturday,True,activity-16-2026-07-11-008,8,1,social_leisure,Z1,Z1,2026-07-11 09:30:00,2026-07-11 11:30:00,False,0.24
16,18-39,regular_worker,,Saturday,True,activity-16-2026-07-11-009,9,2,social_leisure,Z1,Z7,2026-07-11 14:00:00,2026-07-11 18:00:00,False,0.24
16,18-39,regular_worker,,Saturday,True,activity-16-2026-07-11-010,10,3,visit,Z1,Z5,2026-07-11 19:30:00,2026-07-11 22:30:00,False,0.16
17,18-39,regular_worker,,Tuesday,False,activity-17-2026-07-07-003,3,1,work,Z8,Z2,2026-07-07 09:30:00,2026-07-07 17:30:00,True,0.03
17,18-39,regular_worker,,Tuesday,False,activity-17-2026-07-07-004,4,2,shopping,Z8,Z2,2026-07-07 19:30:00,2026-07-07 21:00:00,False,0.15
18,18-39,regular_worker,,Tuesday,False,activity-18-2026-07-07-002,2,1,work,Z7,Z1,2026-07-07 08:30:00,2026-07-07 18:00:00,True,0.03
18,18-39,regular_worker,,Saturday,True,activity-18-2026-07-11-008,8,1,social_leisure,Z7,Z7,2026-07-11 09:30:00,2026-07-11 13:30:00,False,0.24
18,18-39,regular_worker,,Saturday,True,activity-18-2026-07-11-009,9,2,social_leisure,Z7,Z1,2026-07-11 15:00:00,2026-07-11 19:00:00,False,0.24
18,18-39,regular_worker,,Saturday,True,activity-18-2026-07-11-010,10,3,visit,Z7,Z2,2026-07-11 21:00:00,2026-07-11 22:00:00,False,0.16
19,18-39,flexible_non_worker,,Tuesday,False,activity-19-2026-07-07-004,4,1,social_leisure,Z3,Z2,2026-07-07 10:30:00,2026-07-07 20:30:00,False,0.24
19,18-39,flexible_non_worker,,Saturday,True,activity-19-2026-07-11-009,9,1,shopping,Z3,Z3,2026-07-11 13:00:00,2026-07-11 14:00:00,False,0.15
20,18-39,regular_worker,,Tuesday,False,activity-20-2026-07-07-003,3,1,work,Z2,Z3,2026-07-07 10:30:00,2026-07-07 18:30:00,True,0.03
20,18-39,regular_worker,,Saturday,True,activity-20-2026-07-11-008,8,1,medical,Z2,Z2,2026-07-11 09:00:00,2026-07-11 10:00:00,True,0.01
21,40-59,regular_worker,,Tuesday,False,activity-21-2026-07-07-002,2,1,work,Z9,Z6,2026-07-07 10:30:00,2026-07-07 19:30:00,True,0.03
21,40-59,regular_worker,,Saturday,True,activity-21-2026-07-11-006,6,1,social_leisure,Z9,Z9,2026-07-11 09:00:00,2026-07-11 13:00:00,False,0.24
21,40-59,regular_worker,,Saturday,True,activity-21-2026-07-11-007,7,2,social_leisure,Z9,Z9,2026-07-11 17:30:00,2026-07-11 20:30:00,False,0.24
22,40-59,regular_worker,,Tuesday,False,activity-22-2026-07-07-002,2,1,work,Z5,Z7,2026-07-07 08:30:00,2026-07-07 17:00:00,True,0.03
22,40-59,regular_worker,,Saturday,True,activity-22-2026-07-11-008,8,1,social_leisure,Z5,Z5,2026-07-11 10:00:00,2026-07-11 12:00:00,False,0.24
22,40-59,regular_worker,,Saturday,True,activity-22-2026-07-11-009,9,2,visit,Z5,Z5,2026-07-11 15:00:00,2026-07-11 19:00:00,False,0.16
23,40-59,flexible_non_worker,,Saturday,True,activity-23-2026-07-11-006,6,1,social_leisure,Z5,Z7,2026-07-11 09:30:00,2026-07-11 10:30:00,False,0.24
23,40-59,flexible_non_worker,,Saturday,True,activity-23-2026-07-11-007,7,2,social_leisure,Z5,Z5,2026-07-11 13:00:00,2026-07-11 17:00:00,False,0.24
24,40-59,regular_worker,,Tuesday,False,activity-24-2026-07-07-002,2,1,work,Z7,Z4,2026-07-07 09:30:00,2026-07-07 19:30:00,True,0.03
25,40-59,regular_worker,,Tuesday,False,activity-25-2026-07-07-002,2,1,work,Z7,Z7,2026-07-07 08:30:00,2026-07-07 17:30:00,True,0.03
25,40-59,regular_worker,,Saturday,True,activity-25-2026-07-11-006,6,1,shopping,Z7,Z7,2026-07-11 18:00:00,2026-07-11 19:30:00,False,0.15
26,40-59,regular_worker,,Tuesday,False,activity-26-2026-07-07-002,2,1,work,Z8,Z3,2026-07-07 10:00:00,2026-07-07 19:30:00,True,0.03
26,40-59,regular_worker,,Saturday,True,activity-26-2026-07-11-006,6,1,visit,Z8,Z3,2026-07-11 13:30:00,2026-07-11 16:30:00,False,0.16
27,40-59,regular_worker,,Tuesday,False,activity-27-2026-07-07-003,3,1,work,Z3,Z1,2026-07-07 08:00:00,2026-07-07 17:00:00,True,0.03
27,40-59,regular_worker,,Saturday,True,activity-27-2026-07-11-009,9,1,shopping,Z3,Z3,2026-07-11 13:00:00,2026-07-11 14:30:00,False,0.15
28,40-59,regular_worker,,Tuesday,False,activity-28-2026-07-07-002,2,1,work,Z4,Z7,2026-07-07 09:30:00,2026-07-07 17:30:00,True,0.03
29,40-59,regular_worker,,Tuesday,False,activity-29-2026-07-07-002,2,1,work,Z6,Z6,2026-07-07 10:00:00,2026-07-07 19:00:00,True,0.03
30,40-59,regular_worker,,Tuesday,False,activity-30-2026-07-07-003,3,1,work,Z1,Z3,2026-07-07 09:00:00,2026-07-07 18:00:00,True,0.03
30,40-59,regular_worker,,Tuesday,False,activity-30-2026-07-07-004,4,2,shopping,Z1,Z1,2026-07-07 19:30:00,2026-07-07 20:00:00,False,0.15
30,40-59,regular_worker,,Saturday,True,activity-30-2026-07-11-008,8,1,shopping,Z1,Z1,2026-07-11 13:30:00,2026-07-11 14:00:00,False,0.15
31,40-59,regular_worker,,Tuesday,False,activity-31-2026-07-07-002,2,1,work,Z2,Z1,2026-07-07 10:00:00,2026-07-07 20:00:00,True,0.03
31,40-59,regular_worker,,Saturday,True,activity-31-2026-07-11-006,6,1,shopping,Z2,Z1,2026-07-11 17:30:00,2026-07-11 19:00:00,False,0.15
32,40-59,regular_worker,,Tuesday,False,activity-32-2026-07-07-002,2,1,work,Z3,Z2,2026-07-07 08:30:00,2026-07-07 17:00:00,True,0.03
32,40-59,regular_worker,,Saturday,True,activity-32-2026-07-11-006,6,1,shopping,Z3,Z3,2026-07-11 18:00:00,2026-07-11 19:30:00,False,0.15
33,40-59,regular_worker,,Tuesday,False,activity-33-2026-07-07-002,2,1,work,Z4,Z7,2026-07-07 10:30:00,2026-07-07 19:00:00,True,0.03
33,40-59,regular_worker,,Saturday,True,activity-33-2026-07-11-006,6,1,out_of_home_family_care,Z4,Z4,2026-07-11 13:00:00,2026-07-11 19:00:00,False,0.08
34,40-59,regular_worker,,Tuesday,False,activity-34-2026-07-07-002,2,1,work,Z7,Z2,2026-07-07 08:30:00,2026-07-07 17:00:00,True,0.03
34,40-59,regular_worker,,Saturday,True,activity-34-2026-07-11-006,6,1,social_leisure,Z7,Z7,2026-07-11 09:30:00,2026-07-11 12:30:00,False,0.24
34,40-59,regular_worker,,Saturday,True,activity-34-2026-07-11-007,7,2,shopping,Z7,Z7,2026-07-11 17:00:00,2026-07-11 17:30:00,False,0.15
34,40-59,regular_worker,,Saturday,True,activity-34-2026-07-11-008,8,3,social_leisure,Z7,Z7,2026-07-11 19:30:00,2026-07-11 20:30:00,False,0.24
35,40-59,regular_worker,,Tuesday,False,activity-35-2026-07-07-002,2,1,work,Z2,Z1,2026-07-07 08:30:00,2026-07-07 18:30:00,True,0.03
35,40-59,regular_worker,,Saturday,True,activity-35-2026-07-11-006,6,1,visit,Z2,Z2,2026-07-11 09:00:00,2026-07-11 10:00:00,False,0.16
35,40-59,regular_worker,,Saturday,True,activity-35-2026-07-11-007,7,2,visit,Z2,Z2,2026-07-11 11:30:00,2026-07-11 13:30:00,False,0.16
35,40-59,regular_worker,,Saturday,True,activity-35-2026-07-11-008,8,3,visit,Z2,Z8,2026-07-11 17:00:00,2026-07-11 19:00:00,False,0.16
36,40-59,regular_worker,,Tuesday,False,activity-36-2026-07-07-002,2,1,work,Z6,Z3,2026-07-07 08:30:00,2026-07-07 18:00:00,True,0.03
36,40-59,regular_worker,,Saturday,True,activity-36-2026-07-11-007,7,1,out_of_home_family_activity,Z6,Z3,2026-07-11 09:00:00,2026-07-11 10:00:00,False,0.12
36,40-59,regular_worker,,Saturday,True,activity-36-2026-07-11-008,8,2,visit,Z6,Z3,2026-07-11 11:30:00,2026-07-11 15:30:00,False,0.16
36,40-59,regular_worker,,Saturday,True,activity-36-2026-07-11-009,9,3,out_of_home_family_care,Z6,Z3,2026-07-11 17:00:00,2026-07-11 18:00:00,False,0.08
36,40-59,regular_worker,,Saturday,True,activity-36-2026-07-11-010,10,4,shopping,Z6,Z6,2026-07-11 19:30:00,2026-07-11 20:30:00,False,0.15
37,40-59,regular_worker,,Tuesday,False,activity-37-2026-07-07-003,3,1,work,Z3,Z7,2026-07-07 08:00:00,2026-07-07 17:30:00,True,0.03
37,40-59,regular_worker,,Saturday,True,activity-37-2026-07-11-008,8,1,out_of_home_family_activity,Z3,Z7,2026-07-11 12:00:00,2026-07-11 16:00:00,False,0.12
37,40-59,regular_worker,,Saturday,True,activity-37-2026-07-11-009,9,2,shopping,Z3,Z3,2026-07-11 18:30:00,2026-07-11 20:30:00,False,0.15
38,60+,retired,high,Tuesday,False,activity-38-2026-07-07-003,3,1,medical,Z8,Z8,2026-07-07 09:00:00,2026-07-07 11:00:00,True,0.01
38,60+,retired,high,Tuesday,False,activity-38-2026-07-07-004,4,2,visit,Z8,Z2,2026-07-07 13:00:00,2026-07-07 17:00:00,False,0.16
38,60+,retired,high,Saturday,True,activity-38-2026-07-11-006,6,1,shopping,Z8,Z8,2026-07-11 11:00:00,2026-07-11 12:00:00,False,0.15
38,60+,retired,high,Saturday,True,activity-38-2026-07-11-007,7,2,out_of_home_family_care,Z8,Z2,2026-07-11 14:30:00,2026-07-11 16:30:00,False,0.08
39,60+,retired,standard,Tuesday,False,activity-39-2026-07-07-001,1,1,out_of_home_family_activity,Z6,Z6,2026-07-07 15:30:00,2026-07-07 16:30:00,False,0.12
39,60+,retired,standard,Saturday,True,activity-39-2026-07-11-005,5,1,social_leisure,Z6,Z6,2026-07-11 09:00:00,2026-07-11 10:00:00,False,0.24
39,60+,retired,standard,Saturday,True,activity-39-2026-07-11-006,6,2,shopping,Z6,Z6,2026-07-11 17:30:00,2026-07-11 18:00:00,False,0.15
40,60+,part_time_worker,low,Saturday,True,activity-40-2026-07-11-003,3,1,out_of_home_family_activity,Z5,Z7,2026-07-11 17:00:00,2026-07-11 18:00:00,False,0.12
41,60+,retired,standard,Tuesday,False,activity-41-2026-07-07-002,2,1,shopping,Z7,Z7,2026-07-07 10:00:00,2026-07-07 11:00:00,False,0.15
41,60+,retired,standard,Tuesday,False,activity-41-2026-07-07-003,3,2,shopping,Z7,Z7,2026-07-07 15:00:00,2026-07-07 17:00:00,False,0.15
42,60+,retired,standard,Tuesday,False,activity-42-2026-07-07-002,2,1,shopping,Z2,Z2,2026-07-07 16:00:00,2026-07-07 17:30:00,False,0.15
42,60+,retired,standard,Saturday,True,activity-42-2026-07-11-005,5,1,shopping,Z2,Z1,2026-07-11 12:30:00,2026-07-11 13:00:00,False,0.15
42,60+,retired,standard,Saturday,True,activity-42-2026-07-11-006,6,2,out_of_home_family_activity,Z2,Z8,2026-07-11 15:30:00,2026-07-11 17:30:00,False,0.12
43,60+,retired,standard,Saturday,True,activity-43-2026-07-11-005,5,1,shopping,Z9,Z9,2026-07-11 11:00:00,2026-07-11 12:00:00,False,0.15
44,60+,retired,high,Tuesday,False,activity-44-2026-07-07-001,1,1,medical,Z4,Z7,2026-07-07 11:30:00,2026-07-07 13:00:00,True,0.01
44,60+,retired,high,Saturday,True,activity-44-2026-07-11-004,4,1,out_of_home_family_activity,Z4,Z4,2026-07-11 10:00:00,2026-07-11 16:00:00,False,0.12
44,60+,retired,high,Saturday,True,activity-44-2026-07-11-005,5,2,out_of_home_family_activity,Z4,Z4,2026-07-11 17:30:00,2026-07-11 18:30:00,False,0.12
45,60+,retired,standard,Saturday,True,activity-45-2026-07-11-006,6,1,shopping,Z2,Z8,2026-07-11 13:00:00,2026-07-11 14:00:00,False,0.15
45,60+,retired,standard,Saturday,True,activity-45-2026-07-11-007,7,2,visit,Z2,Z3,2026-07-11 15:30:00,2026-07-11 17:30:00,False,0.16
46,60+,part_time_worker,low,Tuesday,False,activity-46-2026-07-07-001,1,1,shopping,Z5,Z5,2026-07-07 16:00:00,2026-07-07 17:30:00,False,0.15
46,60+,part_time_worker,low,Saturday,True,activity-46-2026-07-11-003,3,1,out_of_home_family_activity,Z5,Z5,2026-07-11 10:30:00,2026-07-11 16:30:00,False,0.12
47,60+,retired,standard,Tuesday,False,activity-47-2026-07-07-002,2,1,medical,Z3,Z6,2026-07-07 14:00:00,2026-07-07 17:00:00,True,0.01
47,60+,retired,standard,Saturday,True,activity-47-2026-07-11-004,4,1,visit,Z3,Z8,2026-07-11 09:30:00,2026-07-11 17:30:00,False,0.16
48,60+,retired,standard,Tuesday,False,activity-48-2026-07-07-003,3,1,medical,Z3,Z1,2026-07-07 10:30:00,2026-07-07 12:00:00,True,0.01
48,60+,retired,standard,Saturday,True,activity-48-2026-07-11-007,7,1,shopping,Z3,Z3,2026-07-11 11:00:00,2026-07-11 12:00:00,False,0.15
48,60+,retired,standard,Saturday,True,activity-48-2026-07-11-008,8,2,out_of_home_family_care,Z3,Z3,2026-07-11 15:30:00,2026-07-11 18:30:00,False,0.08
49,60+,retired,standard,Tuesday,False,activity-49-2026-07-07-002,2,1,out_of_home_family_activity,Z7,Z7,2026-07-07 11:00:00,2026-07-07 15:00:00,False,0.12
49,60+,retired,standard,Saturday,True,activity-49-2026-07-11-007,7,1,shopping,Z7,Z1,2026-07-11 12:00:00,2026-07-11 12:30:00,False,0.15
49,60+,retired,standard,Saturday,True,activity-49-2026-07-11-008,8,2,out_of_home_family_activity,Z7,Z7,2026-07-11 14:00:00,2026-07-11 15:00:00,False,0.12
49,60+,retired,standard,Saturday,True,activity-49-2026-07-11-009,9,3,out_of_home_family_activity,Z7,Z7,2026-07-11 16:30:00,2026-07-11 18:30:00,False,0.12
50,60+,retired,low,Tuesday,False,activity-50-2026-07-07-001,1,1,out_of_home_family_activity,Z4,Z4,2026-07-07 12:30:00,2026-07-07 18:30:00,False,0.12
